,Rank,Name,2020 Population,2019 Population,Change
242,243,Yancheng Jiangsu,1864424,1821247,2.37%
243,244,Panama City,1860291,1821693,2.12%
244,245,Daqing,1859001,1810606,2.67%
245,246,Ludhiana,1856849,1830424,1.44%
246,247,Kollam,1851558,1760698,5.16%
247,248,Lome,1827878,1785310,2.38%
248,249,Davao City,1825450,1784942,2.27%
249,250,Leon De Los Aldamas,1825080,1801979,1.28%
250,251,Lianyungang,1820127,1761551,3.33%
251,252,Bucharest,1803247,1812290,-0.50%
252,253,Hamburg,1789954,1791120,-0.07%
253,254,Warsaw,1783251,1775933,0.41%
254,255,Adana,1770850,1749869,1.20%
255,256,Budapest,1768073,1763913,0.24%
256,257,Zhuhai,1759378,1715058,2.58%
257,258,Datong,1745333,1701797,2.56%
258,259,Phoenix,1743469,1679243,1.88%
259,260,Madurai,1734173,1704385,1.75%
260,261,Benin City,1727169,1676132,3.04%
261,262,Palembang,1722700,1693463,1.73%
262,263,Lyon,1719268,1704738,0.85%
263,264,Santa Cruz,1712688,1676912,2.13%
264,265,Matola,1705886,1668740,2.23%
265,266,Gaziantep,1704118,1667798,2.18%
266,267,Meerut,1696440,1665859,1.84%
267,268,Quanzhou,1694076,1631153,3.86%
268,269,Jiangmen,1687310,1663153,1.45%
269,270,Sharjah,1684649,1628932,3.42%
270,271,Glasgow,1673332,1666632,0.40%
271,272,Varanasi,1664942,1639138,1.57%
272,273,Novosibirsk,1663748,1650185,0.82%
273,274,Xiangyang,1657726,1631785,1.59%
274,275,Shiraz,1651362,1627939,1.44%
275,276,Raipur,1642169,1581479,3.84%
276,277,Stockholm,1632798,1608037,1.54%
277,278,Mosul,1629932,1577979,3.29%
278,279,Anshan,1629166,1613590,0.97%
279,280,Can Tho,1617602,1530519,5.69%
280,281,La Laguna,1614854,1553033,3.98%
281,282,Tabriz,1611133,1596171,0.94%
282,283,Cixi,1609221,1544524,4.19%
283,284,Marseille,1608236,1603434,0.30%
284,285,Auckland,1606564,1582028,1.55%
285,286,Jilin,1603332,1585383,1.13%
286,287,Jamshedpur,1599434,1570577,1.84%
287,288,San Antonio,1590402,1541456,1.56%
288,289,Srinagar,1585774,1549803,2.32%
289,290,Makassar,1583553,1556025,1.77%
290,291,Karaj,1580413,1581403,-0.06%
291,292,Philadelphia,1579504,1573688,0.18%
292,293,Yinchuan,1579049,1530944,3.14%
293,294,Daejon,1565656,1561931,0.24%
294,295,Qiqihaer,1559581,1536903,1.48%
295,296,Aurangabad,1558412,1517148,2.72%
296,297,Muscat,1549729,1501635,3.20%
297,298,Yichang,1548423,1490109,3.91%
298,299,Calgary,1547484,1512539,2.31%
299,300,Batam,1546064,1473274,4.94%
300,301,Xining,1539437,1495340,2.95%
301,302,Munich,1538302,1521417,1.11%
302,303,Gaoxiong,1537640,1534349,0.21%
303,304,Qinhuangdao,1535223,1483631,3.48%
304,305,Rosario,1532128,1510253,1.45%
305,306,Harare,1529920,1521311,0.57%
306,307,Hengyang,1527107,1479887,3.19%
307,308,Gwangju,1521506,1519448,0.14%
308,309,Monrovia,1517235,1467026,3.42%
309,310,Yekaterinburg,1503812,1493370,0.70%
310,311,Tiruppur,1496389,1432643,4.45%
311,312,Jining Shandong,1494249,1471411,1.55%
312,313,Medina,1488782,1459468,2.01%
313,314,Grande Sao Luis,1485763,1472956,0.87%
314,315,Abu Dhabi,1482816,1452057,2.12%
315,316,Jodhpur,1471900,1434312,2.62%
316,317,San Diego,1469490,1438060,1.08%
317,318,Edmonton,1461182,1429743,2.20%
318,319,Kananga,1458400,1395418,4.51%
319,320,Natal,1456844,1426562,2.12%
320,321,Jabalpur,1449787,1429683,1.41%
321,322,Tegucigalpa,1444085,1403162,2.92%
322,323,Suqian,1440060,1357818,6.06%
323,324,Ranchi,1439195,1404095,2.50%
324,325,Huainan,1437838,1414863,1.62%
325,326,Mandalay,1437554,1405821,2.26%
326,327,Zhangjiakou,1434649,1400504,2.44%
327,328,Asansol,1431260,1410410,1.48%
328,329,Kharkiv,1429004,1432345,-0.23%
329,330,Chaozhou,1428383,1408284,1.43%
330,331,Kathmandu,1423515,1376108,3.45%
331,332,N Djamena,1422547,1371524,3.72%
332,333,Onitsha,1414790,1348529,4.91%
333,334,Dallas,1400337,1359133,1.49%
334,335,San Jose,1399629,1378546,1.53%
335,336,Chon Buri,1398645,1379856,1.36%
336,337,Belgrade,1397939,1393717,0.30%
337,338,Zurich,1395356,1383092,0.89%
338,339,Allahabad,1393723,1373594,1.47%
339,340,Ottawa,1393086,1378151,1.08%
340,341,Kota,1386877,1342600,3.30%
341,342,Gwalior,1378375,1347582,2.29%
