,Name,City,Country,IATA,Lat,Long,city_population,country_population,country_density,source_airport,destination_flights,flights_coefficient
4288,Zhoushan Airport,Zhoushan,China,HSN,29.9342002869,122.361999512,647419.0,1433783686.0,147.7068,HSN,633.0,423.24810425698024
4289,Qamdo Bangda Airport,Bangda,China,BPX,30.553600311279297,97.1082992553711,73646.0,1433783686.0,147.7068,BPX,174.0,423.24810425698024
4290,Dachuan Airport,Dazhou,China,DAX,31.1302,107.4295,682342.0,1433783686.0,147.7068,DAX,278.0,423.24810425698024
4291,Guangyuan Airport,Guangyuan,China,GYS,32.391101837158196,105.7020034790039,539179.0,1433783686.0,147.7068,GYS,134.0,423.24810425698024
4292,Luzhou Airport,Luzhou,China,LZO,28.85219955444336,105.39299774169922,822996.0,1433783686.0,147.7068,LZO,376.0,423.24810425698024
4293,Mianyang Airport,Mianyang,China,MIG,31.4281005859375,104.74099731445312,335213.0,1433783686.0,147.7068,MIG,792.0,423.24810425698024
4294,Nanchong Airport,Nanchong,China,NAO,30.79545,106.1626,1257726.0,1433783686.0,147.7068,NAO,162.0,423.24810425698024
4295,Nyingchi Airport,Nyingchi,China,LZY,29.303300857543945,94.33529663085938,165067.0,1433783686.0,147.7068,LZY,390.0,423.24810425698024
4296,Wanxian Airport,Wanxian,China,WXN,30.8017,108.433,148561.0,1433783686.0,147.7068,WXN,351.0,423.24810425698024
4297,Aksu Airport,Aksu,China,AKU,41.262501,80.291702,508745.0,1433783686.0,147.7068,AKU,1202.0,423.24810425698024
4299,Kuqa Airport,Kuqa,China,KCA,41.677856,82.872917,100734.0,1433783686.0,147.7068,KCA,238.0,423.24810425698024
4300,Korla Airport,Korla,China,KRL,41.69779968261719,86.12889862060547,416900.0,1433783686.0,147.7068,KRL,985.0,423.24810425698024
4301,Karamay Airport,Karamay,China,KRY,45.46655,84.9527,57562.0,1433783686.0,147.7068,KRY,136.0,423.24810425698024
4302,Yining Airport,Yining,China,YIN,43.955799,81.330299,356001.0,1433783686.0,147.7068,YIN,372.0,423.24810425698024
